software,geometry,nprocs,n,mean_deviation,std_deviation
rusty_tree,wiggly_torus,2,499849,3.9257855872473484,0
rusty_tree,wiggly_torus,2,499849,8.940099910172872,0
rusty_tree,wiggly_torus,2,499849,2.6738074898619386,0
rusty_tree,wiggly_torus,4,499849,6.623800387717091,2.9061628451155626
rusty_tree,wiggly_torus,4,499849,4.341511136363182,2.744446361745041
rusty_tree,wiggly_torus,4,499849,10.015524688455915,6.452112693308809
rusty_tree,wiggly_torus,8,499849,5.629150003300997,3.2590401991959377
rusty_tree,wiggly_torus,8,499849,10.204131647757624,6.556182281404257
rusty_tree,wiggly_torus,8,499849,7.71978137397494,5.423850866498119
rusty_tree,wiggly_torus,16,499849,7.033124003449042,5.95032832041182
rusty_tree,wiggly_torus,16,499849,9.176971445376504,6.3740507561858815
rusty_tree,wiggly_torus,16,499849,8.33071587619461,4.998172582652847
rusty_tree,wiggly_torus,32,499849,8.912941708395936,7.133329210513021
rusty_tree,wiggly_torus,32,499849,9.233563536187928,6.23897230268075
rusty_tree,wiggly_torus,32,499849,10.412882190421508,5.913775353000079
rusty_tree,uniform_random,2,500000,1.82,0
rusty_tree,uniform_random,2,500000,0.3212,0
rusty_tree,uniform_random,2,500000,4.8832,0
rusty_tree,uniform_random,4,500000,6.2744,0.8821256146377341
rusty_tree,uniform_random,4,500000,1.8472,0.7001533546302552
rusty_tree,uniform_random,4,500000,6.094000000000001,2.825719844570583
rusty_tree,uniform_random,8,500000,10.7836,5.9942981841079614
rusty_tree,uniform_random,8,500000,7.859999999999999,5.278707720645271
rusty_tree,uniform_random,8,500000,6.2128,4.754380481198365
rusty_tree,uniform_random,16,500000,7.2304,5.431770009858665
rusty_tree,uniform_random,16,500000,5.8512,4.250480330503836
rusty_tree,uniform_random,16,500000,6.895199999999999,4.870060237820472
rusty_tree,uniform_random,32,500000,8.912941708395936,7.133329210513021
rusty_tree,uniform_random,32,500000,6.2104,5.190190562975506
rusty_tree,uniform_random,32,500000,7.6248000000000005,5.640541647749798